Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s.(2S).2s.2p.(3P*).3d?""","=""1P*?""","=""1""","="" 125.67?""","=""0.06""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).4d?""","=""1P*?""","=""1""","="" 126.55?""","=""0.06""","=""L9172"""
"=""1s.(2S).2s.2p.(3P*).4s?""","=""1P*?""","=""1""","="" 126.70?a""","=""0.06""","=""L9172"""
"=""1s.(2S).2s.2p.(1P*).3s""","=""1P*""","=""1""","="" 127.24a""","=""0.06""","=""L9172"""
"=""1s.(2S).2s.2p.(1P*).3d?""","=""1P*?""","=""1""","="" 127.51?a""","=""0.06""","=""L9172"""
"=""Be II (1s.(2S).2s.2p.(3P*) 2P*)""","=""Limit""","=""---""","="" 128.071""","=""0.012""","=""L9172"""
"=""1s.(2S).2p2.(3P).3p""","=""5S*""","=""2""","="" 128.40+y""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p.(1P*).4s""","=""1P*""","=""1""","="" 128.76a""","=""0.06""","=""L9172"""
"=""1s.(2S).2p2.(3P).4p""","=""5S*""","=""2""","="" 129.45+z""","=""0.04""","=""L9172"""
"=""Be II (1s.(2S).2s.2p.(1P*) 2P*)""","=""Limit""","=""---""","="" 130.31""","=""0.04""","=""L9172"""
"=""1s.2s.(3S).3s.3p.(3P*)?""","=""1P*?""","=""1""","="" 134.47?""","=""0.05""","=""L9172"""
"=""1s.2s.(3S).3s.4p.(3P*)?""","=""1P*?""","=""1""","="" 136.74?""","=""0.07""","=""L9172"""
"=""1s.2s.(1S).3s.3p.(1P*)?""","=""1P*?""","=""1""","="" 137.40?""","=""0.05""","=""L9172"""
"=""1s.2s.(1S).3s.4p.(1P*)?""","=""1P*?""","=""1""","="" 139.06?""","=""0.07""","=""L9172"""
