Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3.(2D*).3p""","=""3P""","=""2""","="" 29.767682""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""1""","="" 29.775141""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""0""","="" 29.778428""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""5P""","=""1""","="" 30.185057""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""5P""","=""2""","="" 30.185538""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""5P""","=""3""","="" 30.186342""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""1D""","=""2""","="" 30.535278""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","="" 30.581290""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","="" 30.582192""","=""""","="""""
"=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","="" 30.584682""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3S""","=""1""","="" 31.406745""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""4""","="" 31.426853""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""3""","="" 31.426929""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""2""","="" 31.427014""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""0""","="" 31.427014""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""5D*""","=""1""","="" 31.427014""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","="" 31.493825""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","="" 31.493896""","=""""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","="" 31.494030""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""5""","="" 31.559105""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""4""","="" 31.559113""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""2""","="" 31.559118""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""3""","="" 31.559119""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""5F""","=""1""","="" 31.559129""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""4""","="" 31.559698""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""3""","="" 31.559723""","=""""","="""""
"=""2s2.2p3.(4S*).4f""","=""3F""","=""2""","="" 31.559743""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""3""","="" 31.578976""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""2""","="" 31.580843""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3D""","=""1""","="" 31.581662""","=""""","="""""
"=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""","="" 31.677789""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""1P""","=""1""","="" 31.691135""","=""""","="""""
"=""2s2.2p3.(4S*).5s""","=""3S*""","=""1""","="" 31.772496""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""0""","="" 31.895287""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""1""","="" 31.897080""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""3P""","=""2""","="" 31.899999""","=""""","="""""
"=""2s2.2p3.(2P*).3p""","=""1D""","=""2""","="" 32.103242""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""1""","="" 32.134179""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""2""","="" 32.134406""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""5P""","=""3""","="" 32.134771""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""2""","="" 32.297483""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""1""","="" 32.299391""","=""""","="""""
"=""2s2.2p3.(4S*).5p""","=""3P""","=""0""","="" 32.300438""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""4""","="" 32.716247""","=""""","="""""
"=""2s2.2p3.(4S*).5d""","=""5D*""","=""2""","="" 32.716289""","=""""","="""""
