Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3.(2P*).11d""","=""3P*""","=""0""","="" 13.281""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).11d""","=""3P*""","=""2""","="" 13.281""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).11d""","=""3P*""","=""1""","="" 13.281""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).12d""","=""3P*,3D*""","=""1 or 2 or 3""","="" 13.3019""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).13d""","=""3P*,3D*""","=""1 or 2 or 3""","="" 13.3160""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).14d""","=""3P*,3D*""","=""1 or 2 or 3""","="" 13.3299""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).15d""","=""3P*,3D*""","=""1 or 2 or 3""","="" 13.3387""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).16d""","=""3P*,3D*""","=""1 or 2 or 3""","="" 13.3463""","=""""","=""                                            ""","="""""
"=""S II (3p3 2P*<1/2>)""","=""Limit""","=""---""","="" 13.40071""","=""""","=""                                            ""","="""""
"=""S II (3p3 2P*<3/2>)""","=""Limit""","=""---""","="" 13.40650""","=""""","=""                                            ""","="""""
